iter	Passed	Remaining
851	2004	348
852	2006	345
853	2007	343
854	2011	341
855	2013	338
856	2015	336
857	2016	333
858	2018	331
859	2020	328
860	2021	326
861	2023	323
862	2026	321
863	2028	319
864	2029	316
865	2031	314
866	2034	312
867	2036	309
868	2037	307
869	2039	304
870	2042	302
871	2044	300
872	2047	297
873	2048	295
874	2050	292
875	2051	290
876	2054	288
877	2057	285
878	2058	283
879	2060	280
880	2062	278
881	2063	276
882	2065	273
883	2066	271
884	2068	268
885	2071	266
886	2073	264
887	2075	261
888	2077	259
889	2078	256
890	2079	254
891	2082	252
892	2086	249
893	2087	247
894	2089	245
895	2091	242
896	2093	240
897	2094	237
898	2096	235
899	2097	233
900	2099	230
901	2101	228
902	2104	226
903	2106	223
904	2107	221
905	2109	218
906	2111	216
907	2112	214
908	2114	211
909	2116	209
910	2118	206
911	2121	204
912	2123	202
913	2126	200
914	2128	197
915	2131	195
916	2133	193
917	2134	190
918	2136	188
919	2138	185
920	2140	183
921	2141	181
922	2145	179
923	2147	176
924	2149	174
925	2150	171
926	2152	169
927	2154	167
928	2155	164
929	2156	162
930	2159	160
931	2161	157
932	2162	155
933	2164	152
934	2166	150
935	2168	148
936	2170	145
937	2174	143
938	2177	141
939	2179	139
940	2183	136
941	2186	134
942	2189	132
943	2191	130
944	2194	127
945	2196	125
946	2197	123
947	2199	120
948	2201	118
949	2205	116
950	2210	113
951	2211	111
952	2214	109
953	2216	106
954	2218	104
955	2220	102
956	2222	99
957	2225	97
958	2227	95
959	2228	92
960	2229	90
961	2233	88
962	2237	85
963	2239	83
964	2241	81
965	2243	78
966	2247	76
967	2249	74
968	2251	72
969	2253	69
970	2256	67
971	2258	65
972	2260	62
973	2262	60
974	2264	58
975	2267	55
976	2269	53
977	2270	51
978	2272	48
979	2274	46
980	2278	44
981	2281	41
982	2283	39
983	2284	37
984	2286	34
985	2287	32
986	2290	30
987	2292	27
988	2295	25
989	2299	23
990	2302	20
991	2305	18
992	2308	16
993	2312	13
994	2313	11
995	2315	9
996	2316	6
997	2318	4
998	2322	2
999	2326	0
